activity,baseline_source,n_baseline_windows,hr_mean_center,hr_mean_scale,delta_hr_center,delta_hr_scale,hr_slope_bpm_min_center,hr_slope_bpm_min_scale,rmssd_center,rmssd_scale,sdnn_center,sdnn_scale,dfa_alpha1_center,dfa_alpha1_scale
Bekerja,context,41,99.0,2.6192599999999984,1.0,4.4478,-0.760211169769286,5.212786996387864,10.930442638392392,2.2880810107915823,17.061172756267638,5.617476995470822,1.294533227327752,0.1303981133853329
Berbaring,context,1096,71.01666666666667,9.414509999999991,0.0,4.4478,0.020839121978378318,4.800015337593775,34.340862859577456,20.603593019746807,50.258863782082514,26.47303570400067,1.1442498607770697,0.30062294846691157
Berjalan,global_fallback,5,73.29166666666666,12.317934999999984,0.0,4.4478,-0.10836343428726242,5.08673098082804,30.299625343423706,20.887694591475903,45.743360923832896,26.43767889348575,1.1890510824168077,0.2866705456610726
Berkendara,global_fallback,6,73.29166666666666,12.317934999999984,0.0,4.4478,-0.10836343428726242,5.08673098082804,30.299625343423706,20.887694591475903,45.743360923832896,26.43767889348575,1.1890510824168077,0.2866705456610726
Duduk,context,10,114.175,1.6061500000000035,2.5,5.1891,-0.19672131147534128,6.43380016671299,8.11245544490587,1.9726076440844063,15.554890787476772,4.743322806055441,1.2895305849563954,0.08997947367010393
Lainnya,context,16,102.39166666666668,5.658590000000005,-1.5,8.1543,0.8318230153174232,6.3632462984805755,11.616852401147016,2.571249826441598,22.77707579926532,10.038321444037777,1.3661638832511782,0.254133435511445
Makan,context,43,100.66666666666667,12.132610000000005,-1.0,4.4478,-3.601000277854868,6.71845430950816,11.976672240906558,5.483435806948223,24.300589376963607,12.75080753496126,1.3327989857779412,0.15166134796457018
Memasak,context,59,107.03333333333333,5.016129999999989,-1.0,7.412999999999999,-1.6137816060015595,8.031661747847558,10.837787002826918,3.0686418195703262,23.912741562596874,9.031244139847088,1.4703248937341662,0.15574877316834213
