activity,baseline_source,n_baseline_windows,hr_mean_center,hr_mean_scale,delta_hr_center,delta_hr_scale,hr_slope_bpm_min_center,hr_slope_bpm_min_scale,rmssd_center,rmssd_scale,sdnn_center,sdnn_scale,dfa_alpha1_center,dfa_alpha1_scale
Bekerja,context,237,109.7,7.141189999999994,0.0,5.9304,0.125034731870067,6.058103806612971,10.853414677855607,3.914294472454502,18.00102790536467,6.250634916086793,1.2357447523199028,0.19631363182067899
Berbaring,context,23,73.81666666666666,10.081679999999995,0.0,5.9304,-0.256737982772943,8.92031686579605,45.04216480332058,24.33440338695832,74.83708105321166,34.60765082023879,1.1459628340169599,0.2744956670325252
Berjalan,context,25,103.21666666666667,10.155810000000011,-1.0,4.4478,-1.647124201166918,4.154905140316784,15.666546459449885,2.4018321963885882,20.215023500882776,5.44890904374373,1.1966939548680389,0.22420359862370542
Berkendara,context,103,105.9,8.673210000000012,1.0,4.4478,-0.08168935815495978,5.4253520422339285,11.661903789690601,2.8393412629815167,17.583786509810647,5.056798224810114,1.2224683763677302,0.2463906391293369
Lainnya,context,33,120.78333333333333,7.2153199999999895,1.0,5.9304,-1.9588774659626753,9.076033120311177,11.521534737692908,5.810497031104553,17.471526472753766,8.52831263433599,1.2422708786301602,0.15108686430317003
