activity,baseline_source,n_baseline_windows,hr_mean_center,hr_mean_scale,delta_hr_center,delta_hr_scale,hr_slope_bpm_min_center,hr_slope_bpm_min_scale,rmssd_center,rmssd_scale,sdnn_center,sdnn_scale,dfa_alpha1_center,dfa_alpha1_scale
Bekerja,context,121,97.01666666666667,7.561259999999991,0.0,5.9304,-0.5734926368435203,5.383333370380594,18.28632906048873,4.910498439272232,25.192204650273126,9.338047994315612,1.1456562510439312,0.2381560157893919
Berbaring,context,265,71.78333333333333,6.276340000000001,0.0,4.4478,-0.24506807446506426,5.472314087246431,37.44668526436132,13.642428125806896,51.7389443415878,19.958961526821234,1.1264625435130564,0.2821254381340832
Berkendara,context,45,110.76666666666667,5.584459999999998,1.0,7.412999999999999,0.9769380383440248,8.611356043345317,10.538870746440033,3.038032148251655,18.883376840595933,5.3448682307411355,1.2871116445939756,0.18040995025091058
Duduk,context,80,115.95,8.12959,0.0,5.9304,-0.5059738816337049,7.025769102528482,8.476686310740615,2.8048794219995465,15.872439539809484,7.505440064723258,1.2639524211321944,0.2032646902457188
Lainnya,context,78,102.8235632183908,6.226920000000004,0.0,5.9304,-0.09752709085850125,5.859082259549886,15.80144903801111,5.055587269184244,20.675006444553688,8.962754686212175,1.1113519445523048,0.24522573294467828
Makan,context,26,98.67500000000001,9.636899999999978,0.0,7.412999999999999,3.059183106418512,7.321135648791333,15.381854139043302,5.280157303078819,26.658447361873634,10.494811459148616,1.3437435849996215,0.23857583565940832
