activity,baseline_source,n_baseline_windows,hr_mean_center,hr_mean_scale,delta_hr_center,delta_hr_scale,hr_slope_bpm_min_center,hr_slope_bpm_min_scale,rmssd_center,rmssd_scale,sdnn_center,sdnn_scale,dfa_alpha1_center,dfa_alpha1_scale
Berbaring,context,603,71.9,9.982840000000001,0.0,4.4478,0.30508474576277245,5.645677577087453,45.89542276206282,26.933968403375314,53.37348153412373,29.04610133313693,1.0385193485485045,0.2973653764214667
Berkendara,context,56,100.675,4.175989999999994,-0.5,8.1543,-1.0419560989162902,6.703214003889911,15.110860317836785,3.94514047360183,26.887241746262227,9.184629334469832,1.29246834813525,0.22249031435760258
Lainnya,context,144,80.20833333333334,9.216830000000002,0.0,5.9304,-0.07085301472625524,7.62886062795221,31.54066372011647,12.887766838993123,42.316645362908275,21.225431051035166,1.2339037979794005,0.2819440689993407
Makan,context,21,108.68333333333334,5.708010000000012,1.0,4.4478,1.5495734061307629,4.926463068220186,12.325390632239131,5.685944515502871,21.32876914973349,10.444818135513621,1.2803709197818651,0.13453920075224557
